Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01
Element,3000,Element,3001,Element,3002,Element,3003,Element,3004,Element,3005
,,,,,,,,,,,
,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.0,-61.85738476626073,0.0,-61.805799322517856,0.0,-61.987039088406625,0.0,-61.541422710483324,0.0,-61.63652179674402,0.0,-60.292804006109684
545.3057861328125,-61.45982013596974,545.3057861328125,-61.40818056198634,545.3057861328125,-61.62436387998374,545.3057861328125,-61.17995375030496,545.3057861328125,-61.16303414178714,545.3057861328125,-59.99053750288537
1090.611572265625,-61.21903619440138,1090.611572265625,-61.172281303532955,1090.611572265625,-61.381102445459526,1090.611572265625,-60.9725705014581,1090.611572265625,-60.886498160276254,1090.611572265625,-59.984786352561734
1635.9173583984375,-61.27022620177218,1635.9173583984375,-61.22398839840682,1635.9173583984375,-61.39302051507905,1635.9173583984375,-61.037137432830576,1635.9173583984375,-60.948859148229715,1635.9173583984375,-60.26756865377483
2181.22314453125,-61.347205587266586,2181.22314453125,-61.41568035044178,2181.22314453125,-61.45751746772505,2181.22314453125,-61.236516538939284,2181.22314453125,-61.08610031689088,2181.22314453125,-60.651691060248126
2726.5289306640625,-61.58016732273245,2726.5289306640625,-61.634468267366245,2726.5289306640625,-61.655187202087866,2726.5289306640625,-61.460790221207276,2726.5289306640625,-61.3403841798456,2726.5289306640625,-61.00405089207456
3271.834716796875,-61.80275724767171,3271.834716796875,-61.84949392285184,3271.834716796875,-61.85807631519096,3271.834716796875,-61.6882331757526,3271.834716796875,-61.58733612596238,3271.834716796875,-61.32508154406345
3817.1405029296875,-62.018548007469995,3817.1405029296875,-62.06200055745281,3817.1405029296875,-62.066033960545425,3817.1405029296875,-61.91712280610776,3817.1405029296875,-61.82930244884796,3817.1405029296875,-61.62306792225901
4362.4462890625,-62.1987574974279,4362.4462890625,-62.22090639845571,4362.4462890625,-62.252806868144,4362.4462890625,-62.11168026243447,4362.4462890625,-62.04482357777023,4362.4462890625,-61.87714058846666
4907.7520751953125,-62.173870258106355,4907.7520751953125,-62.142334886812485,4907.7520751953125,-62.25586894420369,4907.7520751953125,-61.95414054643837,4907.7520751953125,-62.019939110513405,4907.7520751953125,-61.42492240634113
5453.0576171875,-61.85761264220657,5453.0576171875,-61.806027182462906,5453.0576171875,-61.98726672611046,5453.0576171875,-61.541650243476504,5453.0576171875,-61.63674934803791,5453.0576171875,-60.29303139615345
